N;file_name;flag;result
313;IMG_20171216_154802.JPG;Family;0.9420518279075623
314;IMG_20180207_122441.JPG;Family;0.9062181711196899
315;IMG_20180210_100501.JPG;Family;0.9755905866622925
316;IMG_20180302_150155.JPG;Work;9.284708539780695e-06
317;IMG_20180706_132134.jpg;Work;0.00015217994223348796
318;IMG_20180706_165237.JPG;Family;0.9620809555053711
319;IMG_20180717_161414.JPG;Family;0.9940949082374573
320;IMG_20180813_103417.JPG;Family;0.9780914187431335
321;IMG_20180821_143118.JPG;Family;0.9975460171699524
322;IMG_20180830_132222.JPG;Family;0.9999997615814209
323;IMG_20180926_122031.jpg;Work;1.5414480003528297e-05
324;IMG_20181006_184549.JPG;Family;1.0
325;IMG_20181018_115325.JPG;Work;0.17940570414066315
326;IMG_20190105_144238.jpg;Family;0.9999997615814209
327;IMG_20190125_102229.JPG;Work;0.7835897207260132
328;IMG_20190225_100038.JPG;Family;0.9427446722984314
329;IMG_20190317_162456.JPG;Work;0.7439159750938416
330;IMG_20190405_180009.JPG;Family;0.9999980926513672
331;IMG_20190409_171820.jpg;Work;0.00035725950147025287
332;IMG_20190517_120709.JPG;Work;0.3843725621700287
333;IMG_20190527_101153.JPG;Family;0.9999936819076538
334;IMG_20190723_133618.JPG;Family;0.9601898193359375
335;IMG_20190902_084752.JPG;Family;1.0
336;IMG_20190902_085430.JPG;Family;1.0
337;IMG_20190917_162008.JPG;Work;0.4432237148284912
338;IMG_20190920_143542.JPG;Family;0.9943406581878662
339;IMG_20190921_185017.JPG;Work;0.13530968129634857
340;IMG_20191009_112923.jpg;Work;0.06331655383110046
341;IMG_20191106_144439.jpg;Work;0.008595358580350876
342;IMG_20191221_130141.JPG;Work;0.0005672848783433437
343;IMG_20191221_160204.JPG;Family;1.0
344;IMG_20200203_114032.JPG;Work;0.6773738265037537
345;IMG_20200430_095719.JPG;Work;1.5461991154097632e-07
346;IMG_20200430_112321.JPG;Family;0.9999860525131226
347;IMG_20200513_133426.JPG;Work;0.5133085250854492
348;IMG_20200519_101809.JPG;Work;0.6107581853866577
349;IMG_20200807_143232.JPG;Work;5.236035161004793e-09
350;IMG_20200807_150613.JPG;Family;0.9155527949333191
351;IMG_20200808_130352.JPG;Family;0.9998103976249695
352;IMG_20200819_145309.JPG;Work;0.7306321859359741
353;IMG_20200909_100641.JPG;Work;0.0004288843192625791
354;IMG_20200914_132304.JPG;Family;0.9433474540710449
355;IMG_20190724_210029.JPG;Family;0.9990794658660889
356;IMG_20150813_121809.JPG;Family;1.0
357;IMG_20150813_121705.JPG;Family;1.0
358;IMG_20150920_193738.JPG;Family;1.0
359;IMG_20160531_114157.JPG;Family;0.9491767883300781
360;IMG_20151001_165737.JPG;Work;0.6276485323905945
361;IMG_20160108_133719.JPG;Family;1.0
362;IMG_20160202_232221.JPG;Family;0.9999865293502808
363;IMG_20160502_134149.JPG;Family;1.0
364;IMG_20160509_095559.JPG;Family;1.0
365;IMG_20190725_102607.JPG;Work;0.2708147168159485
366;IMG_20190725_105508.JPG;Work;0.5461239814758301
367;IMG_20160614_210703.JPG;Family;1.0
368;IMG_20160614_212352.JPG;Family;1.0
369;IMG_20160614_212735.JPG;Family;0.9999992847442627
370;IMG_20160803_143934.JPG;Family;1.0
371;IMG_20160808_123546.JPG;Family;0.871768057346344
372;IMG_20160816_123244.JPG;Family;1.0
373;IMG_20160821_154757.JPG;Family;0.9999257326126099
374;IMG_20160922_105810.JPG;Work;7.903063092840057e-09
375;IMG_20160925_155909.JPG;Work;0.6227046251296997
376;IMG_20190810_201721.JPG;Family;0.9893772602081299
377;IMG_20161107_195939.JPG;Work;0.3970535695552826
378;IMG_20161111_150700.JPG;Work;0.25113004446029663
379;IMG_20161204_123621.jpg;Family;1.0
380;IMG_20170119_130856.JPG;Work;8.745311788516119e-05
381;IMG_20200609_143833.JPG;Family;1.0
382;IMG_20170719_132847.JPG;Work;0.002106706378981471
383;IMG_20190830_204806.JPG;Family;1.0
384;IMG_20170810_095316.JPG;Family;1.0
385;IMG_20170901_102502.JPG;Family;1.0
386;IMG_20170903_173905_1.JPG;Family;0.9988335967063904
387;IMG_20171014_123651.JPG;Family;0.9984152317047119
388;IMG_20171111_191425.JPG;Family;1.0
389;IMG_20171112_181043.JPG;Family;0.9994242191314697
390;IMG_20190902_085402.JPG;Family;1.0
391;IMG_20180210_130949.JPG;Family;1.0
392;IMG_20180311_172513.JPG;Family;0.9999997615814209
393;IMG_20180318_172539.JPG;Family;1.0
394;IMG_20180626_203238.JPG;Family;0.9999979734420776
395;IMG_20180627_122020.jpg;Family;1.0
396;IMG_20180811_161513.JPG;Family;1.0
397;IMG_20180811_213206.JPG;Family;0.9999444484710693
398;IMG_20180830_131932.JPG;Family;0.9999090433120728
399;IMG_20181013_133542.JPG;Family;1.0
400;IMG_20181018_140341.JPG;Family;0.9999954700469971
401;IMG_20181108_112931.jpg;Work;4.145374259678647e-05
402;IMG_20181210_125716.jpg;Family;0.9798555374145508
403;IMG_20181219_175844.JPG;Family;0.9999935626983643
